Timestamp,Item Value Daily,Item Value Average
2018-08-18,167,165
2018-08-19,169,165
2018-08-20,171,165
2018-08-21,178,165
2018-08-22,186,166
2018-08-23,195,167
2018-08-24,191,167
2018-08-25,194,168
2018-08-26,200,169
2018-08-27,206,170
2018-08-28,208,171
2018-08-29,210,173
2018-08-30,210,174
2018-08-31,212,176
2018-09-01,217,177
2018-09-02,225,179
2018-09-03,234,182
2018-09-04,236,184
2018-09-05,236,187
2018-09-06,233,189
2018-09-07,229,192
2018-09-08,224,194
2018-09-09,223,196
2018-09-10,221,198
2018-09-11,219,200
2018-09-12,221,202
2018-09-13,225,204
2018-09-14,233,206
2018-09-15,240,209
2018-09-16,235,211
2018-09-17,233,213
2018-09-18,234,215
2018-09-19,235,218
2018-09-20,240,220
2018-09-21,246,222
2018-09-22,258,224
2018-09-23,259,226
2018-09-24,256,228
2018-09-25,254,230
2018-09-26,250,231
2018-09-27,246,233
2018-09-28,244,234
2018-09-29,240,235
2018-09-30,235,236
2018-10-01,233,236
2018-10-02,231,236
2018-10-03,229,236
2018-10-04,227,236
2018-10-05,228,236
2018-10-06,230,235
2018-10-07,230,235
2018-10-08,230,236
2018-10-09,230,236
2018-10-10,230,236
2018-10-11,229,237
2018-10-12,229,237
2018-10-13,232,237
2018-10-14,231,237
2018-10-15,229,237
2018-10-16,228,236
2018-10-17,227,236
2018-10-18,224,236
2018-10-19,222,235
2018-10-20,221,235
2018-10-21,221,234
2018-10-22,219,233
2018-10-23,218,231
2018-10-24,216,230
2018-10-25,214,229
2018-10-26,212,227
2018-10-27,210,226
2018-10-28,208,225
2018-10-29,206,224
2018-10-30,204,223
2018-10-31,208,222
2018-11-01,215,221
2018-11-02,223,221
2018-11-03,224,221
2018-11-04,232,221
2018-11-05,234,221
2018-11-06,235,222
2018-11-07,238,222
2018-11-08,238,222
2018-11-09,239,222
2018-11-10,237,223
2018-11-11,235,223
2018-11-12,232,223
2018-11-13,228,223
2018-11-14,224,223
2018-11-15,221,222
2018-11-16,218,222
2018-11-17,215,222
2018-11-18,213,221
2018-11-19,212,221
2018-11-20,213,221
2018-11-21,207,220
2018-11-22,203,220
2018-11-23,199,219
2018-11-24,196,219
2018-11-25,194,218
2018-11-26,193,218
2018-11-27,191,217
2018-11-28,189,217
2018-11-29,187,216
2018-11-30,186,215
2018-12-01,185,214
2018-12-02,184,213
2018-12-03,185,212
2018-12-04,187,210
2018-12-05,189,209
2018-12-06,192,207
2018-12-07,193,206
2018-12-08,193,204
2018-12-09,191,203
2018-12-10,189,201
2018-12-11,187,199
2018-12-12,186,198
2018-12-13,186,196
2018-12-14,185,195
2018-12-15,185,194
2018-12-16,186,193
2018-12-17,186,192
2018-12-18,186,191
2018-12-19,185,190
2018-12-20,185,189
2018-12-21,184,188
2018-12-22,184,188
2018-12-23,183,187
2018-12-24,182,187
2018-12-25,180,186
2018-12-26,180,186
2018-12-27,179,185
2018-12-28,178,185
2018-12-29,176,185
2018-12-30,174,184
2018-12-31,172,184
2019-01-01,170,183
2019-01-02,169,183
2019-01-03,168,182
2019-01-04,167,182
2019-01-05,168,181
2019-01-06,169,180
2019-01-07,170,179
2019-01-08,170,178
2019-01-09,168,178
2019-01-10,167,177
2019-01-11,165,176
2019-01-12,163,176
2019-01-13,163,175
2019-01-14,164,174
2019-01-15,167,174
2019-01-16,170,173
2019-01-17,169,172
2019-01-18,168,172
2019-01-19,167,171
2019-01-20,166,171
2019-01-21,166,170
2019-01-22,166,170
2019-01-23,168,169
2019-01-24,168,169
2019-01-25,167,168
2019-01-26,166,168
2019-01-27,167,167
2019-01-28,166,167
2019-01-29,166,167
2019-01-30,169,167
2019-01-31,174,167
2019-02-01,175,167
2019-02-02,177,167
2019-02-03,179,168
2019-02-04,183,168
2019-02-05,183,169
2019-02-06,184,169
2019-02-07,183,170
2019-02-08,182,170
2019-02-09,180,171
2019-02-10,177,171
2019-02-11,174,171
2019-02-12,175,172
2019-02-13,175,172
